company_name_s,skills_current,user_count,total_users,user_pct
(유)로지소프트,.NET,2,25,8
(유)로지소프트,ABAP,2,25,8
(유)로지소프트,AI/인공지능,1,25,4
(유)로지소프트,AIOHTTP,3,25,12
(유)로지소프트,ASP.NET,3,25,12
(유)로지소프트,AWS,2,25,8
(유)로지소프트,AWS CodePipeline,3,25,12
(유)로지소프트,AWS Lambda,2,25,8
(유)로지소프트,Akka HTTP,2,25,8
(유)로지소프트,Amazon DynamoDB,4,25,16
(유)로지소프트,Amazon ECR,2,25,8
(유)로지소프트,Amazon EKS,1,25,4
(유)로지소프트,Amazon RDS,2,25,8
(유)로지소프트,Amazon Redshift,1,25,4
(유)로지소프트,Amazon S3,1,25,4
(유)로지소프트,Android OS,1,25,4
(유)로지소프트,Appium,1,25,4
(유)로지소프트,Argo,2,25,8
(유)로지소프트,Asana,3,25,12
(유)로지소프트,Azure Bot Service,2,25,8
(유)로지소프트,Azure DevOps,1,25,4
(유)로지소프트,Backendless,2,25,8
(유)로지소프트,Bitbucket Pipelines,1,25,4
(유)로지소프트,Blockchain,1,25,4
(유)로지소프트,Blueprint,1,25,4
(유)로지소프트,Bootstrap,1,25,4
(유)로지소프트,C,3,25,12
(유)로지소프트,C#,1,25,4
(유)로지소프트,C++,1,25,4
(유)로지소프트,CISA,1,25,4
(유)로지소프트,CSS 3,1,25,4
(유)로지소프트,Cassandra,4,25,16
(유)로지소프트,Celery,1,25,4
(유)로지소프트,Chakra UI,2,25,8
(유)로지소프트,CodeIgniter,2,25,8
(유)로지소프트,Confluence,1,25,4
(유)로지소프트,Coqui TTS,2,25,8
(유)로지소프트,Datadog,1,25,4
(유)로지소프트,DeepLearning,3,25,12
(유)로지소프트,Druid,3,25,12
(유)로지소프트,ERP,2,25,8
(유)로지소프트,Eclipse,2,25,8
(유)로지소프트,Elasticsearch,1,25,4
(유)로지소프트,Electron,1,25,4
(유)로지소프트,Embedded,2,25,8
(유)로지소프트,Embedded Linux,1,25,4
(유)로지소프트,Etl,1,25,4
(유)로지소프트,FW,1,25,4
(유)로지소프트,FastAPI,2,25,8
(유)로지소프트,Figma,1,25,4
(유)로지소프트,Fluentd,1,25,4
(유)로지소프트,Flutter,1,25,4
(유)로지소프트,GCP,1,25,4
(유)로지소프트,GCP IAM,4,25,16
(유)로지소프트,Git,1,25,4
(유)로지소프트,GitHub,1,25,4
(유)로지소프트,GitHub Actions,1,25,4
(유)로지소프트,GitLab,2,25,8
(유)로지소프트,Go,2,25,8
(유)로지소프트,GoLand,1,25,4
(유)로지소프트,Golang,3,25,12
(유)로지소프트,Google Analytics,1,25,4
(유)로지소프트,Gradle,1,25,4
(유)로지소프트,HTML5,1,25,4
(유)로지소프트,Hack,1,25,4
(유)로지소프트,Hibernate,1,25,4
(유)로지소프트,IPS,1,25,4
(유)로지소프트,IntelliJ IDEA,3,25,12
(유)로지소프트,JSON,1,25,4
(유)로지소프트,JUnit,1,25,4
(유)로지소프트,Java,1,25,4
(유)로지소프트,Java 8,2,25,8
(유)로지소프트,JavaScript,1,25,4
(유)로지소프트,Jenkins,3,25,12
(유)로지소프트,Jira,1,25,4
(유)로지소프트,K8S,1,25,4
(유)로지소프트,Kafka,1,25,4
(유)로지소프트,Kotlin,1,25,4
(유)로지소프트,Kubeflow,1,25,4
(유)로지소프트,L7,1,25,4
(유)로지소프트,LDAP,4,25,16
(유)로지소프트,Laravel,1,25,4
(유)로지소프트,Linux,1,25,4
(유)로지소프트,Lua,2,25,8
(유)로지소프트,MSSQL,1,25,4
(유)로지소프트,MVVM,1,25,4
(유)로지소프트,Mfc,1,25,4
(유)로지소프트,Microsoft Excel,2,25,8
(유)로지소프트,MongoDB,1,25,4
(유)로지소프트,MySQL,1,25,4
(유)로지소프트,Mybatis,1,25,4
(유)로지소프트,NGINX,3,25,12
(유)로지소프트,Netty,2,25,8
(유)로지소프트,Network,1,25,4
(유)로지소프트,Nexacro,2,25,8
(주)긴트,C#,5,35,14
(유)로지소프트,Nginx Proxy Manager,2,25,8
(유)로지소프트,Node.js,2,25,8
(유)로지소프트,Notion,1,25,4
